gene_symbol,gene_name,aliases
TP53,Tumor Protein P53,"P53, tumor protein p53, Li-Fraumeni syndrome"
BRCA1,BRCA1 DNA Repair Associated,"breast cancer 1, RNF53, IRIS, BRCC1"
BRCA2,BRCA2 DNA Repair Associated,"breast cancer 2, FANCD1, FACD, BRCC2"
EGFR,Epidermal Growth Factor Receptor,"ERBB1, HER1, epidermal growth factor receptor"
MYC,MYC Proto-Oncogene,"c-MYC, MYCC, bHLHe39, v-myc avian myelocytomatosis viral oncogene homolog"
KRAS,KRAS Proto-Oncogene,"KRAS2, c-K-ras, Ki-ras, RASK2"
BRAF,B-Raf Proto-Oncogene,"B-RAF1, RAFB1, NS7, BRAF1"
PIK3CA,Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha,"PI3K-alpha, PI3KCA, p110-alpha"
PTEN,Phosphatase And Tensin Homolog,"MMAC1, TEP1, phosphatase and tensin homolog"
APC,APC Regulator Of WNT Signaling Pathway,"adenomatous polyposis coli, DP2.5, GS, PPP1R46"
RB1,RB Transcriptional Corepressor 1,"RB, pRb, retinoblastoma 1, OSRC"
ERBB2,ERBB2 Receptor Tyrosine Kinase 2,"HER2, NEU, NGL, CD340"
VEGFA,Vascular Endothelial Growth Factor A,"VEGF, VPF, vascular endothelial growth factor A, MGC70609"
ALK,ALK Receptor Tyrosine Kinase,"anaplastic lymphoma kinase, CD246, NBLST3"
JAK2,Janus Kinase 2,"JAK2H, THCYT3, Janus kinase 2"
